nombre,poblacion,superficie,continente

Brasil,213000000,8500000,America

Canada,40500000,9984670,America

Argentina,46200000,3761274,America

España,50000000,505370,Europa

Chile,20150948,756096,America

Lituania,2800000,65300,Europa

Croacia,4100000,56594,Europa

Egipto,120000000,1002450,Africa

Japon,125000000,377975,Asia

Vietnam,97000000,331210,Asia

Nigeria,242000000,925000,Africa

Italia,59000000,301340,Europa

Francia,67000000,643801,Europa

Australia,25000000,7692024,Oceania

Mexico,126000000,1964375,America

Colombia,50000000,1141748,America

Peru,33000000,1285216,America

Nueva Zelanda,5000000,268021,Oceania

Sudafrica,60000000,1221037,Africa

Uzbekistan,34000000,447400,Asia

